frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
343,0.286,296.744,320.0,-0.18,0.057,29.336
344,0.165,311.167,320.0,-0.03,0.059,27.243
345,-0.296,354.073,320.0,0.12,0.058,27.151
346,-0.476,383.57,320.0,0.27,0.055,27.865
347,-0.514,383.57,320.0,0.406,0.053,28.079
348,-0.425,350.156,320.0,0.256,0.055,29.404
349,-0.252,334.654,320.0,0.106,0.058,31.033
350,0.496,234.48,320.0,-0.044,0.059,31.888
351,0.629,199.051,320.0,-0.194,0.057,30.888
352,0.641,199.051,320.0,-0.161,0.057,30.062
353,0.645,199.051,320.0,-0.075,0.059,28.531
354,0.574,242.15,320.0,0.075,0.059,27.277
355,0.256,309.219,320.0,0.225,0.056,27.657
356,0.146,313.516,320.0,0.375,0.053,28.717
357,0.206,306.355,320.0,0.225,0.056,28.89
358,0.323,295.62,320.0,0.075,0.059,30.038
359,0.364,295.62,320.0,-0.075,0.059,31.268
360,0.415,290.14,320.0,-0.006,0.06,31.272
361,0.548,274.48,320.0,-0.156,0.057,30.888
362,0.56,274.48,320.0,-0.137,0.058,30.107
363,0.564,274.48,320.0,-0.062,0.059,29.022
364,0.566,274.48,320.0,-0.035,0.059,28.305
365,0.619,274.48,320.0,-0.185,0.057,27.866
366,0.619,274.48,320.0,-0.035,0.059,26.924
367,0.619,274.48,320.0,-0.024,0.06,26.595
368,0.619,274.48,320.0,-0.024,0.06,26.314
369,0.419,297.041,320.0,0.126,0.058,26.516
370,0.053,319.905,320.0,0.276,0.055,27.948
371,0.131,307.276,320.0,0.126,0.058,29.348
372,0.269,295.727,320.0,-0.024,0.06,29.282
373,0.332,287.634,320.0,-0.174,0.057,29.211
374,0.354,282.643,320.0,-0.254,0.055,28.972
375,0.694,257.257,320.0,-0.404,0.053,28.32
376,0.698,264.214,320.0,-0.254,0.055,27.96
377,0.612,275.388,320.0,-0.104,0.058,25.864
378,0.431,292.154,320.0,0.046,0.059,24.149
379,0.368,292.154,320.0,0.036,0.059,24.85
380,-0.134,335.787,320.0,0.186,0.057,25.219
381,-0.411,396.676,320.0,0.336,0.054,25.621
382,-0.46,396.676,320.0,0.486,0.051,26.7
383,-0.478,396.676,320.0,0.336,0.054,28.199
384,-0.307,340.454,320.0,0.186,0.057,30.468
385,0.453,250.785,320.0,0.036,0.059,31.367
386,0.614,226.642,320.0,-0.114,0.058,29.809
387,0.629,221.992,320.0,-0.187,0.057,29.674
388,0.634,223.48,320.0,-0.084,0.058,28.75
389,0.635,227.758,320.0,-0.046,0.059,28.548
390,0.7,228.912,320.0,-0.196,0.056,28.311
391,0.7,234.152,320.0,-0.046,0.059,28.107
392,0.7,236.993,320.0,-0.031,0.059,27.812
393,0.7,241.459,320.0,-0.031,0.059,27.485
394,0.7,247.474,320.0,-0.031,0.059,27.24
395,0.592,282.157,320.0,0.119,0.058,26.952
396,0.478,291.573,320.0,0.269,0.055,27.038
397,0.431,294.109,320.0,0.255,0.055,27.848
398,0.476,287.576,320.0,0.105,0.058,28.382
399,0.547,281.532,320.0,-0.045,0.059,28.225
400,0.664,267.639,320.0,-0.195,0.056,28.325
401,0.648,272.53,320.0,-0.045,0.059,26.967
402,0.494,287.844,320.0,0.105,0.058,25.895
403,0.295,303.02,320.0,0.255,0.055,25.883
404,0.12,313.443,320.0,0.405,0.053,26.138
405,-0.638,381.117,320.0,0.555,0.05,26.51
406,-0.678,369.839,320.0,0.463,0.052,27.206
407,-0.637,362.556,320.0,0.313,0.054,28.892
408,-0.353,336.052,320.0,0.163,0.057,30.06
409,-0.11,312.443,320.0,0.013,0.06,30.287
410,0.638,189.499,320.0,-0.137,0.058,30.292
411,0.679,172.827,320.0,-0.287,0.055,30.335
412,0.682,147.828,320.0,-0.137,0.058,30.031
413,0.683,147.828,320.0,-0.044,0.059,29.252
414,0.684,147.828,320.0,-0.035,0.059,29.103
415,0.7,134.889,320.0,-0.185,0.057,28.969
416,0.7,134.889,320.0,-0.035,0.059,28.723
417,0.7,134.889,320.0,-0.031,0.059,28.559
418,0.7,134.889,320.0,-0.031,0.059,28.244
419,0.7,159.54,320.0,-0.031,0.059,28.032
420,0.7,189.653,320.0,-0.031,0.059,27.745
421,0.7,194.727,320.0,-0.031,0.059,27.38
422,0.7,203.211,320.0,-0.031,0.059,27.094
423,0.7,209.495,320.0,-0.031,0.059,27.538
424,0.7,213.464,320.0,-0.031,0.059,27.361
425,0.7,251.339,320.0,-0.031,0.059,27.517
426,0.7,255.584,320.0,-0.031,0.059,27.247
427,0.7,262.231,320.0,-0.031,0.059,26.893
428,0.636,271.881,320.0,0.119,0.058,26.575
429,0.526,281.272,320.0,0.269,0.055,26.929
